county,mean_conc_year,highest_conc,year
Alameda,0.0301154,0.075,2010
Alameda,0.0301154,0.049,2010
Alameda,0.0301154,0.049,2010
Alameda,0.0301154,0.049,2010
Alameda,0.0301154,0.12,2010
Alameda,0.0301154,0.081,2010
Alameda,0.0301154,0.081,2010
Alameda,0.0301154,0.081,2010
Alameda,0.0301154,0.15,2010
Alameda,0.0301154,0.097,2010
Alameda,1.191745875,9,2010
Alameda,1.191745875,9,2010
Alameda,1.191745875,2.4,2010
Alameda,1.191745875,6.3,2010
Alameda,1.191745875,11,2010
Alameda,1.191745875,11,2010
Alameda,1.191745875,3.7,2010
Alameda,1.191745875,8.6,2010
Contra Costa,1.3957145,19,2010
Contra Costa,1.3957145,19,2010
Alameda,0.273076375,2.5,2010
Alameda,0.273076375,1.5,2010
Alameda,0.273076375,1.6,2010
Alameda,0.273076375,0.9,2010
Alameda,0.273076375,3,2010
Alameda,0.273076375,1.6,2010
Alameda,0.273076375,2.7,2010
Alameda,0.273076375,1.7,2010
Butte,0.2496755,2.5,2010
Butte,0.2496755,1.8,2010
Alameda,18.1723621,53.4,2010
Alameda,18.1723621,53.4,2010
Alameda,18.1723621,55,2010
Alameda,18.1723621,55,2010
Alameda,18.1723621,58.4,2010
Alameda,18.1723621,58.4,2010
Alameda,18.1723621,64.1,2010
Alameda,18.1723621,64.1,2010
Alameda,18.1723621,68.6,2010
Alameda,18.1723621,68.6,2010
Alameda,8.2782088,84,2010
Alameda,8.2782088,26.3,2010
Alameda,8.2782088,26.3,2010
Alameda,8.2782088,26.3,2010
Alameda,8.2782088,26.3,2010
Alameda,8.2782088,26.3,2010
Alameda,8.2782088,26.3,2010
Alameda,8.2782088,34.7,2010
Alameda,8.2782088,34.7,2010
Alameda,8.2782088,34.7,2010
Alameda,7.801514375,84,2010
Alameda,7.801514375,30.7,2010
Alameda,7.801514375,31.2,2010
Alameda,7.801514375,56,2010
Alameda,7.801514375,24.5,2010
Alameda,7.801514375,76,2010
Alameda,7.801514375,35.2,2010
Alameda,7.801514375,22.5,2010
Butte,8.7203348,66,2010
Butte,8.7203348,27.8,2010
Alameda,19.847458,41,2010
Butte,16.360656,38,2010
Calaveras,11.433333,26,2010
Colusa,9.5073435,49,2010
Colusa,9.5073435,2,2010
Contra Costa,16.23155966666667,69,2010
Contra Costa,16.23155966666667,39,2010
Contra Costa,16.23155966666667,39,2010
Del Norte,14.559322,37,2010
Fresno,27.968803333333334,62,2010
Alameda,0.0330226,0.116,2020
Alameda,0.0330226,0.092,2020
Alameda,0.0330226,0.092,2020
Alameda,0.0330226,0.092,2020
Alameda,0.0330226,0.095,2020
Alameda,0.0330226,0.077,2020
Alameda,0.0330226,0.077,2020
Alameda,0.0330226,0.077,2020
Alameda,0.0330226,0.09,2020
Alameda,0.0330226,0.066,2020
Alameda,0.41425425,15.4,2020
Alameda,0.41425425,15.4,2020
Alameda,0.41425425,2.5,2020
Alameda,0.41425425,9.8,2020
Contra Costa,1.2715042083333332,3.9,2020
Contra Costa,1.2715042083333332,3.9,2020
Contra Costa,1.2715042083333332,2.6,2020
Contra Costa,1.2715042083333332,3.2,2020
Contra Costa,1.2715042083333332,12.7,2020
Contra Costa,1.2715042083333332,12.7,2020
Alameda,0.4635803,1.9,2020
Alameda,0.4635803,1.7,2020
Alameda,0.4635803,3.2,2020
Alameda,0.4635803,2.7,2020
Alameda,0.4635803,2,2020
Alameda,0.4635803,1.7,2020
Alameda,0.4635803,3.6,2020
Alameda,0.4635803,2.1,2020
Alameda,0.4635803,2,2020
Alameda,0.4635803,1.8,2020
Alameda,16.19920675,45.9,2020
Alameda,16.19920675,45.9,2020
Alameda,16.19920675,59.2,2020
Alameda,16.19920675,59.2,2020
Alameda,16.19920675,48,2020
Alameda,16.19920675,48,2020
Alameda,16.19920675,57.5,2020
Alameda,16.19920675,57.5,2020
Alameda,16.19920675,62.6,2020
Alameda,16.19920675,62.6,2020
Alameda,10.981526428571428,321,2020
Alameda,10.981526428571428,122,2020
Alameda,10.981526428571428,122,2020
Alameda,10.981526428571428,122,2020
Alameda,10.981526428571428,122,2020
Alameda,10.981526428571428,122,2020
Alameda,10.981526428571428,122,2020
Alameda,10.981526428571428,308,2020
Alameda,10.981526428571428,167.7,2020
Alameda,10.981526428571428,167.7,2020
Butte,11.385722000000001,17.1,2020
Butte,11.385722000000001,429,2020
Butte,11.385722000000001,108.3,2020
Butte,11.385722000000001,412,2020
Butte,11.385722000000001,250.7,2020
Colusa,13.225576499999999,262,2020
Colusa,13.225576499999999,145.7,2020
Del Norte,8.948060333333334,557,2020
Del Norte,8.948060333333334,169.5,2020
Del Norte,8.948060333333334,91.2,2020
Butte,35.716328000000004,1003,2020
Butte,35.716328000000004,390,2020
Calaveras,23.958814,466,2020
Calaveras,23.958814,216,2020
Colusa,36.4981535,872,2020
Colusa,36.4981535,304,2020
Contra Costa,18.22744775,38,2020
Contra Costa,18.22744775,165,2020
Contra Costa,18.22744775,112,2020
Contra Costa,18.22744775,111,2020
